City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Sioux Lookout,CA,2021-10-06 14:11:21,50.1001,-91.917,58.19,80,4,9.64
98,Provideniya,RU,2021-10-06 14:11:21,64.3833,-173.3,36.91,98,100,11.16
99,Solnechnyy,RU,2021-10-06 14:11:22,50.7214,136.6319,36.23,58,0,5.61
100,Thompson,CA,2021-10-06 14:11:22,55.7435,-97.8558,44.31,51,52,8.23
101,Rikitea,PF,2021-10-06 14:11:22,-23.1203,-134.9692,73.2,80,100,18.23
102,Lorengau,PG,2021-10-06 14:11:22,-2.0226,147.2712,75.97,89,100,5.5
103,Bengkulu,ID,2021-10-06 14:11:23,-3.8004,102.2655,76.01,90,31,4.43
104,Shumskiy,RU,2021-10-06 14:11:23,54.8318,99.1328,32.58,89,26,2.89
105,Hongjiang,CN,2021-10-06 14:11:23,27.11,109.9956,72.14,78,0,4.43
106,Wajir,KE,2021-10-06 14:08:09,1.7471,40.0573,93.69,27,67,14.41
107,Broome,US,2021-10-06 14:11:24,42.2506,-75.833,65.37,81,90,1.01
108,Morant Bay,JM,2021-10-06 14:11:24,17.8815,-76.4093,85.62,78,96,12.95
109,Tomatlan,MX,2021-10-06 14:11:24,19.9333,-105.25,76.19,83,100,3.02
110,Codrington,AU,2021-10-06 14:11:24,-38.2667,141.9667,48.13,84,94,16.44
111,Kota Kinabalu,MY,2021-10-06 14:09:20,5.9749,116.0724,80.58,89,20,2.3
112,Kaitangata,NZ,2021-10-06 14:11:25,-46.2817,169.8464,48.85,97,97,3.58
113,Taber,CA,2021-10-06 14:08:36,49.8167,-112.1518,58.01,28,100,9.64
114,Ilulissat,GL,2021-10-06 14:11:25,69.2167,-51.1,32.02,55,75,5.75
115,Huarmey,PE,2021-10-06 14:11:25,-10.0681,-78.1522,66.13,80,100,8.9
116,Rundu,NA,2021-10-06 14:11:26,-17.9333,19.7667,89.74,28,99,11.41
117,Abu Samrah,SY,2021-10-06 14:11:26,35.3029,37.1841,76.87,16,0,4.29
118,Bonavista,CA,2021-10-06 14:11:26,48.6499,-53.1147,57.11,65,56,13.78
119,Tema,GH,2021-10-06 14:11:26,5.667,-0.0166,82.94,72,95,12.48
120,Bredasdorp,ZA,2021-10-06 14:11:27,-34.5322,20.0403,74.28,62,0,17.38
121,Deniliquin,AU,2021-10-06 14:11:27,-35.5333,144.9667,60.01,36,59,14.05
122,Haverfordwest,GB,2021-10-06 14:11:27,51.8017,-4.9691,61.56,82,100,5.01
123,Norman Wells,CA,2021-10-06 14:11:27,65.282,-126.8329,19.36,97,37,3.02
124,Sao Fidelis,BR,2021-10-06 14:09:05,-21.6461,-41.7469,75.15,87,100,3.33
125,Teguldet,RU,2021-10-06 14:11:28,57.3064,88.1667,31.01,75,100,3.49
126,Lakota,CI,2021-10-06 14:11:28,5.8528,-5.6883,82.8,83,27,3.42
127,Khatanga,RU,2021-10-06 14:11:28,71.9667,102.5,27.81,97,100,9.82
128,Tasiilaq,GL,2021-10-06 14:11:29,65.6145,-37.6368,35.76,64,0,5.37
129,Kodiak,US,2021-10-06 14:11:29,57.79,-152.4072,45.12,93,100,7.18
130,Singaraja,ID,2021-10-06 14:11:29,-8.112,115.0882,77.97,81,20,7.85
131,Irbeyskoye,RU,2021-10-06 14:11:29,55.6428,95.4522,34.7,65,87,1.57
132,Port Elizabeth,ZA,2021-10-06 14:07:16,-33.918,25.5701,74.1,82,40,19.57
133,Batagay-Alyta,RU,2021-10-06 14:11:30,67.8006,130.4114,25.59,65,100,5.97
134,Nilopolis,BR,2021-10-06 14:11:30,-22.8075,-43.4139,73.08,88,100,4.05
135,Hargeysa,SO,2021-10-06 14:11:30,9.56,44.065,85.17,35,77,9.46
136,Pilar,BR,2021-10-06 14:11:31,-9.5972,-35.9567,85.93,54,99,9.98
137,Kruisfontein,ZA,2021-10-06 14:11:31,-34.0033,24.7314,70.88,59,0,15.99
138,Majene,ID,2021-10-06 14:11:31,-3.5403,118.9707,80.08,83,15,7.65
139,Adrar,MR,2021-10-06 14:11:31,20.5022,-10.0711,102.49,10,16,8.03
140,Mirnyy,RU,2021-10-06 14:11:32,62.5353,113.9611,29.46,67,100,12.06
141,Gold Coast,AU,2021-10-06 14:11:32,-28.0,153.4333,62.71,88,0,1.01
142,Jurado,CO,2021-10-06 14:11:32,7.1053,-77.7641,77.94,93,100,4.92
143,Amlame,TG,2021-10-06 14:11:32,7.4667,0.9,84.6,68,94,5.01
144,Laurel,US,2021-10-06 14:11:33,39.0993,-76.8483,68.63,96,90,1.99
145,La Romana,DO,2021-10-06 14:11:33,18.4273,-68.9728,85.73,74,40,13.8
146,Sangar,RU,2021-10-06 14:11:33,63.9242,127.4739,32.27,99,100,2.86
147,Santa Cruz Cabralia,BR,2021-10-06 14:11:33,-16.2781,-39.0247,80.83,65,40,9.22
148,Torrelavega,ES,2021-10-06 14:11:03,43.3494,-4.0479,67.05,68,70,7.0
149,Ulladulla,AU,2021-10-06 14:11:34,-35.35,150.4667,55.87,64,40,5.73
150,Narsaq,GL,2021-10-06 14:11:34,60.9167,-46.05,46.62,47,100,5.84
151,Lagoa,PT,2021-10-06 14:11:34,39.05,-27.9833,71.33,90,9,19.55
152,Maubeuge,FR,2021-10-06 14:11:35,50.2788,3.9727,53.96,64,100,8.99
153,Tiznit,MA,2021-10-06 14:11:35,29.5833,-9.5,92.07,17,16,8.46
154,Hobyo,SO,2021-10-06 14:11:35,5.3505,48.5268,81.03,75,92,25.55
155,Nabire,ID,2021-10-06 14:11:35,-3.3667,135.4833,77.27,90,100,1.36
156,Poddorye,RU,2021-10-06 14:11:36,57.4695,31.1156,54.39,57,0,10.96
157,Torbay,CA,2021-10-06 14:11:36,47.6666,-52.7314,57.27,71,72,8.01
158,Qaqortoq,GL,2021-10-06 14:11:36,60.7167,-46.0333,46.9,50,100,5.68
159,Manicore,BR,2021-10-06 14:11:37,-5.8092,-61.3003,88.97,50,100,1.68
160,Henties Bay,NA,2021-10-06 14:11:37,-22.116,14.2845,56.86,70,31,9.78
161,San Patricio,US,2021-10-06 14:11:37,28.017,-97.5169,76.82,57,1,1.52
162,Ishigaki,JP,2021-10-06 14:11:38,24.3448,124.1572,83.35,79,12,18.68
163,Kirakira,SB,2021-10-06 14:11:38,-10.4544,161.9205,79.29,84,89,7.96
164,Nemuro,JP,2021-10-06 14:11:38,43.3236,145.575,51.66,71,85,10.65
165,Cherskiy,RU,2021-10-06 14:11:38,68.75,161.3,16.09,96,100,7.25
166,Hofn,IS,2021-10-06 14:11:39,64.2539,-15.2082,41.23,69,86,11.05
167,Pa Sang,TH,2021-10-06 14:11:39,18.5262,98.9394,82.6,92,51,1.32
168,Castro,BR,2021-10-06 14:11:39,-24.7911,-50.0119,74.77,63,76,1.14
169,Zhangjiakou,CN,2021-10-06 14:07:49,40.81,114.8794,45.32,89,100,1.48
170,Kushiro,JP,2021-10-06 14:11:40,42.975,144.3747,46.65,77,93,3.27
171,Manokwari,ID,2021-10-06 14:11:40,-0.8667,134.0833,78.82,82,93,2.39
172,Ribeira Grande,PT,2021-10-06 14:11:40,38.5167,-28.7,75.6,88,40,12.66
173,Cabedelo,BR,2021-10-06 14:11:40,-6.9811,-34.8339,84.87,68,100,14.61
174,Mococa,BR,2021-10-06 14:11:41,-21.4678,-47.0047,85.41,46,3,11.61
175,Niquelandia,BR,2021-10-06 14:11:41,-14.4739,-48.4597,98.15,23,50,5.86
176,Ayan,RU,2021-10-06 14:11:41,56.45,138.1667,37.89,61,54,10.98
177,Snezhnogorsk,RU,2021-10-06 14:11:41,69.1933,33.2531,53.38,77,98,17.02
178,Husavik,IS,2021-10-06 14:11:42,66.0449,-17.3389,37.67,74,17,9.55
179,Ponta Do Sol,PT,2021-10-06 14:11:42,32.6667,-17.1,80.71,66,100,2.98
180,Sarahan,IN,2021-10-06 14:11:42,31.5167,77.8,57.56,69,0,3.06
181,Pangody,RU,2021-10-06 14:11:43,65.85,74.4859,42.66,79,30,20.49
182,Puerto Escondido,MX,2021-10-06 14:11:43,15.85,-97.0667,79.63,73,1,6.91
183,Raahe,FI,2021-10-06 14:11:43,64.6833,24.4833,50.09,86,100,16.28
184,Kutum,SD,2021-10-06 14:11:44,14.2,24.6667,87.87,15,97,3.51
185,Carthage,TN,2021-10-06 14:11:44,36.8611,10.3316,80.13,41,40,18.41
186,Tiksi,RU,2021-10-06 14:11:44,71.6872,128.8694,24.37,89,100,1.83
187,Boyabat,TR,2021-10-06 14:11:44,41.4689,34.7667,57.2,58,64,5.19
188,Laguna,US,2021-10-06 14:11:45,38.421,-121.4238,62.42,85,1,1.01
189,Ahipara,NZ,2021-10-06 14:11:45,-35.1667,173.1667,60.08,92,100,6.76
190,Jimenez,MX,2021-10-06 14:11:45,28.3333,-105.4,67.1,51,95,5.39
191,Lydenburg,ZA,2021-10-06 14:11:46,-25.0978,30.4597,70.39,69,90,5.79
192,Umm Lajj,SA,2021-10-06 14:11:46,25.0213,37.2685,83.62,67,0,13.76
193,Robstown,US,2021-10-06 14:11:46,27.7903,-97.6689,76.75,82,1,0.0
194,Bulgan,MN,2021-10-06 14:11:46,48.8125,103.5347,41.34,52,40,1.9
195,Bulawayo,ZW,2021-10-06 14:11:47,-20.15,28.5833,88.97,15,11,7.52
196,Pierre,US,2021-10-06 14:08:07,44.3683,-100.351,62.06,75,1,1.99
197,Palana,RU,2021-10-06 14:11:47,59.1167,159.9667,29.98,88,100,13.71
198,Aswan,EG,2021-10-06 14:11:47,24.0934,32.907,95.22,14,0,11.18
199,Reconquista,AR,2021-10-06 14:11:48,-29.15,-59.65,69.98,49,100,4.92
200,Ottawa,CA,2021-10-06 14:09:10,45.4112,-75.6981,58.42,95,2,1.57
201,Novi Sanzhary,UA,2021-10-06 14:11:48,49.3439,34.3108,53.98,25,0,14.29
202,Lakes Entrance,AU,2021-10-06 14:11:48,-37.8811,147.981,53.17,68,100,9.48
203,Mogadishu,SO,2021-10-06 14:11:49,2.0371,45.3438,78.94,78,100,17.09
204,Sao Borja,BR,2021-10-06 14:11:49,-28.6606,-56.0044,70.95,69,100,0.67
205,Abha,SA,2021-10-06 14:11:49,18.2164,42.5053,71.85,53,40,14.97
206,Faya,SA,2021-10-06 14:11:49,18.3851,42.4509,72.12,43,78,7.54
207,Hobart,AU,2021-10-06 14:11:50,-42.8794,147.3294,53.46,69,90,5.01
208,Victoria,HK,2021-10-06 14:11:05,22.2855,114.1577,88.21,78,27,1.01
